Player,Team,Draft Year,Yr1 Pos Rk,Yr1 Pos PPG Rk,Yr1 Pos Tm Rk,Yr1 G,Yr1 Opps,Yr1 YTMA/G,Yr1 PPR PPG,Yr1 Rec Dom,Yr1 PPR Pts,Yr1 Snap%,Yr1 Tgts,Yr1 Tgt%,Yr1 Rush Att,Yr1 Tm Rush Att%,Yr1 Tm Opp%,Yr1 EP,Yr1 Rush EP,Yr1 Rec EP,Yr1 Yds,Yr1 Tds,Yr1 Recs,Yr1 Rec Yds,Yr1 YAC,Draft Pick,Draft Year Age,BOA 15%,Total College Touches,Total College Yds,College Yd/G,Total College Dom,College YTMA Dom,Best College YTMA Conf Adj,Best College Adj YTMA,Avg College Adj YTMA,Best College Adj YTMA Over Conf,Avg College Adj YTMA Over Conf,Best College YTMPA,Avg College YTMPA,Best College YTMA,Ave College YTMA,Best College YTMA +/- Conf Avg,Avg College YTMA +/- Conf Avg,College Rush Dom,BMI,Fourty-Time,WaSS,Number of Top 5 Pos Finishes,Number of Top 12 Pos Finishes,Number of Top 24 Pos Finishes,Yr 2 PPG
Rico Dowdle,DAL,2020,151,147,3,4,7,0.09,0.60,0,2.4,0.04,0,0,7,0.06,0.03,3.4,3.4,0,24,0,0,0,0,329,22,18,475,2595,66.53846154,0.177395768,0.883816698,0.308041581,1.275786769,1.190469868,0.245968205,0.160651303,0.92479436,0.783418235,1.275786769,1.018402077,0.308041581,0.050656889,0.339137242,29.70720067,4.54,100.2735031,0,0,0,
Raymond Calais,LAR,2020,179,179,5,4,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,22,,213,1728,35.26530612,0.110323881,0.936575053,-0.002317014,0.936575053,0.630263564,0.027375389,0.027375389,0.936575053,0.630263564,0.936575053,0.630263564,-0.002317014,-0.284549333,0.224861778,28.58504286,4.42,98.51418471,0,0,0,
Miles Sanders,PHI,2019,15,22,1,16,242,1.24,13.79,0.184448946,220.7,0.53,63,0.1,179,0.39,0.23,201.3,107.6,93.5,818,3,50,509,420,53,22,21,300,1788,49.66666667,0.201083253,1.59841629,0.75618943,1.755656109,0.750980131,0.755144369,0.755144369,1.59841629,0.671841772,1.59841629,0.698566858,0.75618943,-0.143660002,0.377651515,29.42825981,4.49,103.831012,0,0,2,14.56666667
Josh Jacobs,LV,2019,21,17,1,13,270,1.70,14.89,0.040507565,193.6,0.56,28,0.07,242,0.67,0.36,179.2,139.1,40.1,1150,7,20,166,183,24,21,20,299,2062,51.55,0.176277182,0.963083605,-0.043841721,1.231270358,1.015814565,0.18513873,0.18513873,0.963083605,0.727663886,0.963083605,0.791095943,-0.043841721,-0.215829383,0.298265276,31.56642683,,,0,1,2,15.68
David Montgomery,CHI,2019,24,34,1,16,277,1.11,10.90,0.077098001,174.4,0.57,35,0.06,242,0.61,0.29,197.3,150.8,46.8,889,6,25,185,156,73,22,20,695,3507,94.78378378,0.374973739,1.691565682,0.869771291,2.047114252,1.682625536,1.073999778,1.067313818,1.698468787,1.399402641,1.825051125,1.446198824,0.869771291,0.49091899,0.71655873,31.85339435,4.63,96.61821418,1,1,2,17.78666667
Devin Singletary,BUF,2019,33,27,1,12,193,1.32,12.49,0.106958309,149.9,0.68,42,0.12,151,0.42,0.27,137.8,77.1,60.6,775,2,29,194,197,74,22,18,759,4648,122.3157895,0.31396778,1.943019814,1.520746478,2.611738149,1.916732674,1.635766633,0.940761158,2.388261851,1.776061119,2.401805869,1.789835051,1.520746478,0.908775659,0.599436766,31.79400633,4.66,86.09587949,0,0,0,9.09375
Tony Pollard,DAL,2019,53,64,2,15,106,0.57,6.08,0.038498946,91.2,0.19,20,0.04,86,0.2,0.11,71.9,42.6,29.2,455,2,15,107,135,128,22,,243,2233,55.825,0.127854708,1.030612245,-0.008864266,1.497959184,1.237604593,0.456998058,0.416397138,1.030612245,0.782404539,1.030612245,0.782404539,-0.008864266,-0.257071972,0.13488395,27.70590867,4.52,100.6226038,0,0,0,7.54375
Alexander Mattison,MIN,2019,61,70,3,13,112,0.71,5.42,0.021972133,70.4,0.23,12,0.03,100,0.25,0.15,76.2,59.6,16.5,462,1,10,82,74,102,21,19,636,3286,86.47368421,0.38145039,1.724212812,0.73866726,1.912052117,1.361888818,0.805367452,0.712598178,1.724212812,1.177530492,1.724212812,1.200458736,0.73866726,0.214913184,0.740113636,30.82296407,4.67,92.92974535,0,0,0,6.684615385
Patrick Laird,MIA,2019,64,49,1,8,92,0.81,8.53,0.049275362,68.2,0.51,30,0.09,62,0.33,0.18,78.6,33.8,44.9,168,1,23,204,174,329,24,22,510,2698,112.4166667,0.322151011,1.522623562,0.636406565,2.195454545,1.95830958,1.100401472,0.863256506,1.646590909,1.522623562,1.796280992,1.611466364,0.636406565,0.451591937,0.512995114,,,,0,0,0,2
Ty Johnson,DET,2019,66,89,6,16,94,0.39,3.89,0.025921522,62.2,0.29,31,0.06,63,0.15,0.1,75,33.1,41.9,273,0,24,109,87,186,21,18,329,2591,76.20588235,0.137052401,1.065655531,0.563115765,1.644599303,1.267677803,0.644087564,0.417026007,1.405342625,1.107262417,1.405342625,1.187925577,0.563115765,0.345698717,0.268202022,,,,0,0,0,5.275
Benny Snell,PIT,2019,67,69,3,11,112,0.72,5.45,0.006999391,59.9,0.25,4,0.01,108,0.37,0.19,66.3,60.9,5.2,426,2,3,23,22,122,21,18,754,3978,102,0.328781954,1.9425,1.065026879,2.07375,1.664419136,1.022657184,0.61332632,1.9425,1.620669136,1.99625,1.644772964,1.065026879,0.713549843,0.645057953,32.14036186,4.66,95.00234978,0,0,0,5.126666667
Ryquell Armstead,JAC,2019,72,91,2,14,59,0.30,3.66,0.077195904,51.2,0.15,24,0.05,35,0.1,0.07,59.6,20.1,39.6,108,0,14,144,119,140,22,19,573,2812,61.13043478,0.27786607,1.232323232,0.944435637,1.602020202,0.923444283,0.619697063,0.358912021,1.232323232,0.790667854,1.602020202,0.923444283,0.944435637,0.265859718,0.55573214,30.68349365,4.45,112.2051092,0,0,0,0
Justice Hill,BAL,2019,77,93,3,16,73,0.29,3.09,0.020858164,49.5,0.17,15,0.04,58,0.1,0.07,53.5,31.1,22.3,225,2,8,70,81,113,21,18,663,3729,103.5833333,0.240249679,1.349316233,0.79630579,1.95243129,1.465302137,0.979316816,0.492187663,1.751585624,1.303648897,1.751585624,1.398353582,0.79630579,0.443073748,0.464353395,28.40978415,4.4,105.6536439,0,0,0,1.3
